filepath,id,labels,fold
dataset/train/train/dogs/dog.11971.jpg,dog.11971.jpg,1,1
dataset/train/train/cats/cat.736.jpg,cat.736.jpg,0,3
dataset/train/train/dogs/dog.3927.jpg,dog.3927.jpg,1,3
dataset/train/train/cats/cat.3634.jpg,cat.3634.jpg,0,1
dataset/train/train/cats/cat.6045.jpg,cat.6045.jpg,0,1
dataset/train/train/dogs/dog.7504.jpg,dog.7504.jpg,1,2
dataset/train/train/dogs/dog.8108.jpg,dog.8108.jpg,1,1
dataset/train/train/cats/cat.4498.jpg,cat.4498.jpg,0,2
dataset/train/train/dogs/dog.12341.jpg,dog.12341.jpg,1,2
dataset/train/train/dogs/dog.12271.jpg,dog.12271.jpg,1,4
dataset/train/train/cats/cat.6791.jpg,cat.6791.jpg,0,3
dataset/train/train/dogs/dog.7159.jpg,dog.7159.jpg,1,4
dataset/train/train/dogs/dog.11305.jpg,dog.11305.jpg,1,3
dataset/train/train/cats/cat.994.jpg,cat.994.jpg,0,4
dataset/train/train/dogs/dog.2628.jpg,dog.2628.jpg,1,2
dataset/train/train/cats/cat.2614.jpg,cat.2614.jpg,0,2
dataset/train/train/cats/cat.7425.jpg,cat.7425.jpg,0,4
dataset/train/train/cats/cat.6215.jpg,cat.6215.jpg,0,0
dataset/train/train/dogs/dog.3489.jpg,dog.3489.jpg,1,3
dataset/train/train/dogs/dog.5432.jpg,dog.5432.jpg,1,1
dataset/train/train/dogs/dog.7787.jpg,dog.7787.jpg,1,2
dataset/train/train/dogs/dog.8585.jpg,dog.8585.jpg,1,3
dataset/train/train/dogs/dog.10481.jpg,dog.10481.jpg,1,2
dataset/train/train/dogs/dog.9234.jpg,dog.9234.jpg,1,2
dataset/train/train/dogs/dog.10760.jpg,dog.10760.jpg,1,4
dataset/train/train/cats/cat.8737.jpg,cat.8737.jpg,0,4
dataset/train/train/dogs/dog.2639.jpg,dog.2639.jpg,1,2
dataset/train/train/dogs/dog.5980.jpg,dog.5980.jpg,1,2
dataset/train/train/cats/cat.10421.jpg,cat.10421.jpg,0,3
dataset/train/train/dogs/dog.9645.jpg,dog.9645.jpg,1,0
dataset/train/train/cats/cat.1314.jpg,cat.1314.jpg,0,0
dataset/train/train/cats/cat.3881.jpg,cat.3881.jpg,0,1
dataset/train/train/cats/cat.1462.jpg,cat.1462.jpg,0,3
dataset/train/train/dogs/dog.523.jpg,dog.523.jpg,1,2
dataset/train/train/dogs/dog.6426.jpg,dog.6426.jpg,1,0
dataset/train/train/cats/cat.9293.jpg,cat.9293.jpg,0,0
dataset/train/train/dogs/dog.9640.jpg,dog.9640.jpg,1,2
dataset/train/train/dogs/dog.543.jpg,dog.543.jpg,1,3
dataset/train/train/cats/cat.3861.jpg,cat.3861.jpg,0,1
dataset/train/train/cats/cat.3345.jpg,cat.3345.jpg,0,2
dataset/train/train/dogs/dog.8145.jpg,dog.8145.jpg,1,4
dataset/train/train/dogs/dog.12107.jpg,dog.12107.jpg,1,1
dataset/train/train/cats/cat.1739.jpg,cat.1739.jpg,0,1
dataset/train/train/cats/cat.7030.jpg,cat.7030.jpg,0,2
dataset/train/train/dogs/dog.11029.jpg,dog.11029.jpg,1,0
dataset/train/train/dogs/dog.12387.jpg,dog.12387.jpg,1,3
dataset/train/train/cats/cat.5071.jpg,cat.5071.jpg,0,0
dataset/train/train/cats/cat.1280.jpg,cat.1280.jpg,0,1
dataset/train/train/dogs/dog.216.jpg,dog.216.jpg,1,3
dataset/train/train/cats/cat.8220.jpg,cat.8220.jpg,0,1
dataset/train/train/dogs/dog.3575.jpg,dog.3575.jpg,1,1
dataset/train/train/cats/cat.7662.jpg,cat.7662.jpg,0,2
dataset/train/train/dogs/dog.8879.jpg,dog.8879.jpg,1,0
dataset/train/train/dogs/dog.3795.jpg,dog.3795.jpg,1,4
dataset/train/train/cats/cat.11568.jpg,cat.11568.jpg,0,0
dataset/train/train/dogs/dog.6048.jpg,dog.6048.jpg,1,4
dataset/train/train/cats/cat.3770.jpg,cat.3770.jpg,0,2
dataset/train/train/cats/cat.7421.jpg,cat.7421.jpg,0,0
dataset/train/train/cats/cat.9760.jpg,cat.9760.jpg,0,3
dataset/train/train/cats/cat.298.jpg,cat.298.jpg,0,0
dataset/train/train/cats/cat.7616.jpg,cat.7616.jpg,0,4
dataset/train/train/cats/cat.6434.jpg,cat.6434.jpg,0,2
dataset/train/train/cats/cat.6219.jpg,cat.6219.jpg,0,1
dataset/train/train/cats/cat.5839.jpg,cat.5839.jpg,0,2
